bud, species, habitat, margin, habit, bud_type, scales, rep, leaf_volume, bud_volume, leaf_bud_ratio, compactness, fractal_dimension_D, sigma_D, 25_centerMass, 50_centerMass, 75_centerMass, voxel_size, downsc_factor
sample01, prunifolium, temperate, toothed, deciduous, I, scale, veg, 0.004452828, 0.013285774, 0.335157627, 0.5097, 2.469, 0.023, 0.25, 0.819, 0.965, 2.2161, 4
sample02, ichangense, temperate, toothed, deciduous, II, scale, rep, 0.001421075, 0.006878811, 0.20658727, 0.6089, 3, 0.013, 0.108, 0.739, 0.963, 2.2482, 2
sample03, bracteatum, temperate, toothed, deciduous, II, scale, rep, 0.001747821, 0.007547635, 0.231572076, 0.479, 2.279, 0.012, 0.238, 0.85, 0.978, 2.3748, 2
sample06*, erosum, temperate, toothed, deciduous, II, scale, veg, 0.004902781, 0.025086853, 0.195432267, 0.452, 2.756, 0.017, 0.199, 0.796, 0.984, 5.6440, 2
sample08*, lantana_discolor, temperate, toothed, deciduous, I, naked, veg, 0.040518576, 0.040549653, 0.999233598, 0.325, 2.498, 0.049, 0.187, 0.603, 0.912, 13.5456, 2
sample09*, dilatatum, temperate, toothed, deciduous, II, scale, veg, 0.003648547, 0.018090348, 0.201684714, 0.488, 2.941, 0.019, 0.139, 0.67, 0.931, 11.0201, 1
sample10*, lentago, temperate, toothed, deciduous, I, scale, veg, 0.003921895, 0.024959518, 0.15713024, 0.4285, 2.275, 0.055, 0.24, 0.698, 0.949, 11.0201, 1
sample11, lentago, temperate, toothed, deciduous, I, scale, rep, 0.055319849, 0.108828854, 0.508319684, 0.446, 1.714, 0.0685, 0.617, 0.934, 0.979, 18.0608, 2
sample13*, opulus, temperate, lobed, deciduous, II, scale, veg, 0.000199908, 0.000881676, 0.226736811, 0.596, 2.977, 0.003, 0.14, 0.807, 0.983, 2.1874, 1
sample15*, hupehense, temperate, toothed, deciduous, I, scale, veg, 0.056058994, 0.056385036, 0.994217578, 0.337, 2.188, 0.03, 0.255, 0.689, 0.96, 18.0608, 1
sample16, veitchii, temperate, toothed, deciduous, I, naked, rep, 0.013606994, 0.042921588, 0.317019806, 0.81, 2.801, 0.0036, 0.093, 0.706, 0.985, 6.6967, 2
